start,finish,counter
1600492525167,1600492533799,0
1600492560259,1600492564936,1
1600492629460,1600492634599,2
1600492699641,1600492700537,3
1600492766848,1600492773165,4
1600492766848,1600492773338,4
1600492823006,1600492827744,5
1600492868099,1600492872751,6
1600492938312,1600492938853,7
1600493007501,1600493008074,8
1600493048599,1600493049379,9
1600493117795,1600493122546,10
1600493169927,1600493174575,11
1600493238080,1600493242768,12
1600493280182,1600493285116,13
1600493424502,1600493429086,14
